year,race,location,date,network,,spliced_name_1,spliced_name_2,spliced_name_3,spliced_name_4,spliced_name_5,spliced_name_6,spliced_name_7,spliced_name_8,spliced_name_9,spliced_name_10,name_for_macro
2015,CampingWorld.com_500,"Talladega_Superspeedway, Lincoln",10_25_2019,NBCSN,,CampingWorld.com,500,,,,,,,,,2015_CampingWorld.com_500
2015,Goodys_Headache_Relief_Shot_500,"Martinsville_Speedway, Ridgeway",11_1_2019,NBCSN,,Goody's,Headache,Relief,Shot,500,,,,,,2015_Goodys_Headache_Relief_Shot_500
2015,AAA_Texas_400,"Texas_Motor_Speedway, Fort_Worth",11_8_2019,NBC,,AAA,Texas,500,,,,,,,,2015_AAA_Texas_400
2015,Quicken_Loans_Race_for_Heroes_500,"Phoenix_International_Raceway, Avondale",11_15_2019,NBC,,Quicken,Loans,Race,for,Heroes,500,,,,,2015_Quicken_Loans_Race_for_Heroes_500
2015,Ford_EcoBoost_400,"Homestead-Miami_Speedway, Homestead",11_22_2019,NBC,,Ford,EcoBoost,400,,,,,,,,2015_Ford_EcoBoost_400
2016,Daytona_500,2_21_2019,Fox,1:30 p.m.,,Daytona,500,,,,,,,,,2016_Daytona_500
2016,Folds_of_Honor_QuikTrip_500,"Atlanta_Motor_Speedway, Hampton",2_28_2019,Fox,1:00 p.m.,Folds,of,Honor,QuikTrip,500,,,,,,2016_Folds_of_Honor_QuikTrip_500
2016,Kobalt_400,"Las_Vegas_Motor_Speedway, Las_Vegas",3_6_2019,Fox,4:00 p.m.,Kobalt,400,,,,,,,,,2016_Kobalt_400
2016,Good_Sam_500,"Phoenix_International_Raceway, Avondale",3_13_2019,Fox,3:30 p.m.,Good,Sam,500,,,,,,,,2016_Good_Sam_500
2016,Auto_Club_400,"Auto_Club_Speedway, Fontana",3_20_2019,Fox,3:30 p.m.,Auto,Club,400,,,,,,,,2016_Auto_Club_400
2016,STP_500,"Martinsville_Speedway, Ridgeway",4_3_2019,FS1,1:00 p.m.,STP,500,,,,,,,,,2016_STP_500
2016,Duck_Commander_500,"Texas_Motor_Speedway, Fort_Worth",4_9_2019,Fox,9:30 p.m.,Duck,Commander,500,,,,,,,,2016_Duck_Commander_500
2016,Food_City_500,"Bristol_Motor_Speedway, Bristol",4_17_2019,Fox,1:00 p.m.,Food,City,500,,,,,,,,2016_Food_City_500
2016,Toyota_Owners_400,"Richmond_International_Raceway, Richmond",4_24_2019,Fox,1:00 p.m.,Toyota,Owners,400,,,,,,,,2016_Toyota_Owners_400
2016,GEICO_500,"Talladega_Superspeedway, Lincoln",5_1_2019,Fox,12:30 p.m.,GEICO,500,,,,,,,,,2016_GEICO_500
2016,GoBowling.com_400,"Kansas_Speedway, Kansas_City",5_7_2019,FS1 ,7:30 p.m.,Go,Bowling,400,,,,,,,,2016_GoBowling.com_400
2016,AAA_400_Drive_for_Autism,"Dover_International_Speedway, Dover",5_15_2019,FS1,1:00 p.m.,AAA,400,Drive,for,Autism,,,,,,2016_AAA_400_Drive_for_Autism
2016,Coca-Cola_600,,5_29_2019,Fox,6:00 p.m.,Coca-Cola,600,,,,,,,,,2016_Coca-Cola_600
2016,Axalta_We_Paint_Winners_400,"Pocono_Raceway, Long_Pond",6_1_1962,FS1,12:00 p.m.,Axalta,We_Paint_Winners,400,,,,,,,,2016_Axalta_We_Paint_Winners_400
2016,FireKeepers_Casino_400,"Michigan_International_Speedway, Brooklyn",6_12_2019,FS1,1:00 p.m.,FireKeepers,Casino,400,,,,,,,,2016_FireKeepers_Casino_400
2016,Toyota_Save_Mart_350,"Sonoma_Raceway, Sonoma",6_26_2019,FS1,3:00 p.m.,Toyota_Save,Mart,350,,,,,,,,2016_Toyota_Save_Mart_350
2016,Coke_Zero_400,"Daytona_International_Speedway, Daytona_Beach",7_2_2019,NBC,8:00 p.m.,Coke,Zero,400,,,,,,,,2016_Coke_Zero_400
